term,domain
"int",other
"intended",other
"interface",other
"internal",other
"into",other
"ise",other
"isn",other
"issues",other
"Issues",other
"italian",other
"Italian",other
"itemName",other
"items",other
"iterations",other
"Jade",other
"Java",other
"jsj",other
"jsja",other
"json",other
"JSON",other
"jsonc",other
"JSONC",other
"just",other
"keeping",other
"kept",other
"keybindings",other
"keywords",other
"know",other
"known",other
"label",other
"language",other
"Language",other
"languageId",other
"languages",other
"Languages",other
"languageSettings",other
"last",other
"LaTeX",other
"latin",other
"Latin",other
"latvian",other
"Latvian",other
"leading",other
"Leading",other
"least",other
"leaves",other
"left",other
"length",other
"let",other
"letter",other
"level",other
"Level",other
"library",other
"liep",other
"lightbulb",other
"like",other
"line",other
"list",other
"List",other
"lithuanian",other
"Lithuanian",other
"Load",other
"loaded",other
"local",other
"locale",other
"location",other
"logo",other
"Logo",other
"long",other
"longer",other
"low",other
"Mac",other
"macedonian",other
"Macedonian",other
"machine",other
"margin",other
"markdown",other
"Markdown",other
"marked",other
"marketplace",other
"Marketplace",other
"marketplace_language_extensions",other
"match",other
"matches",other
"Matches",other
"matching",other
"maximum",other
"maxNumberOfProblems",other
"may",other
"medical",other
"Medical",other
"medicalterms",other
"medicalTerms",other
"methods",other
"might",other
"minimum",other
"minWordLength",other
"misc",other
"Miscellaneous",other
"missing",other
"mixing",other
"mkdirp",other
"mongolian",other
"Mongolian",other
"most",other
"multi",other
"Must",other
"myfancynewcompany",other
"myWords",other
"name",other
"Name",other
"Names",other
"Nederlands",other
"need",other
"Nest",other
"next",other
"norwegian",other
"Norwegian",other
"not",other
"NOT",other
"note",other
"Note",other
"Notice",other
"now",other
"num",other
"number",other
"numbers",other
"numSuggestions",other
"off",other
"offensive",other
"one",other
"only",other
"Only",other
"open",other
"Open",other
"opencollective",other
"option",other
"Optional",other
"Options",other
"Order",other
"other",other
"our",other
"outside",other
"override",other
"own",other
"part",other
"path",other
"Path",other
"paths",other
"patreon",other
"Patreon",other
"patterns",other
"Patterns",other
"paypal",other
"PayPal",other
"per",other
"persian",other
"Persian",other
"personal",other
"php",other
"PHP",other
"PhpHereDoc",other
"PHPHereDoc",other
"placed",other
"png",other
"polish",other
"Polish",other
"portuguese",other
"Portuguese",other
"positioning",other
"positives",other
"possible",other
"powershell",other
"PowerShell",other
"practices",other
"pre",other
"precedence",other
"Predefined",other
"preferences",other
"Preferences",other
"prefixed",other
"preserved",other
"previous",other
"Problems",other
"programming",other
"Programming",other
"project",other
"Project",other
"projects",other
"Pug",other
"punctuation",other
"put",other
"python",other
"Python",other
"qqqqq",other
"QQQQQ",other
"raw",other
"readable",other
"reference",other
"references",other
"Réforme",other
"reforme",other
"RegExp",other
"regular",other
"related",other
"relative",other
"reload",other
"remove",other
"Remove",other
"removed",other
"replace",other
"Report",other
"Reporting",other
"request",other
"reStructuredText",other
"rich",other
"romanian",other
"Romanian",other
"root",other
"Ruby",other
"rules",other
"russian",other
"Russian",other
"Rust",other
"same",other
"Scala",other
"scientific",other
"Scientific",other
"scope",other
"Scope",other
"screen",other
"section",other
"sections",other
"see",other
"See",other
"select",other
"self",other
"send",other
"sensitive",other
"seq",other
"serbian",other
"Serbian",other
"set",other
"Set",other
"setting",other
"settings",other
"Settings",other
"shields",other
"should",other
"Should",other
"show",other
"shown",other
"shows",other
"Side",other
"simple",other
"since",other
"Since",other
"single",other
"slovak",other
"Slovak",other
"slovenian",other
"Slovenian",other
"snake",other
"snake_case_words",other
"social",other
"Software",other
"softwareTerms",other
"some",other
"source",other
"space",other
"spaces",other
"Spaces",other
"spanish",other
"Spanish",other
"special",other
"Special",other
"specific",other
"specify",other
"Specify",other
"spell",other
"Spell",other
"spellCheckDelayMs",other
"spellchecker",other
"spelling",other
"Spelling",other
"split",other
"sponsors",other
"Sponsors",other
"src",other
"start",other
"state",other
"static",other
"status",other
"Status",other
"still",other
"stop",other
"store",other
"str",other
"Street",other
"streetsidesoftware",other
"string",other
"stringlength",other
"strings",other
"Studio",other
"style",other
"Style",other
"suggested",other
"suggestions",other
"Suggestions",other
"sum_it",other
"sup",other
"Support",other
"supported",other
"Supported",other
"swedish",other
"Swedish",other
"sweeetbeat",other
"swiss",other
"Swiss",other
"symbols",other
"target",other
"Technical",other
"tell",other
"terms",other
"Terms",other
"text",other
"Text",other
"than",other
"that",other
"the",other
"The",other
"them",other
"then",other
"there",other
"There",other
"These",other
"they",other
"They",other
"Things",other
"this",other
"This",other
"till",other
"title",other
"together",other
"told",other
"tool",other
"top",other
"tree",other
"true",other
"tsmerge",other
"turkish",other
"Turkish",other
"turn",other
"turned",other
"two",other
"txt",other
"type",other
"types",other
"Types",other
"u0134",other
"undefined",other
"underline",other
"upon",other
"upper",other
"urls",other
"Urls",other
"use",other
"used",other
"useful",other
"user",other
"User",other
"Users",other
"userWords",other
"uses",other
"using",other
"value",other
"values",other
"var",other
"variabele",other
"Verdana",other
"version",other
"Version",other
"via",other
"vietnamese",other
"Vietnamese",other
"Visual",other
"visualstudio",other
"vscode",other
"VSCode",other
"vsmarketplacebadge",other
"wackyWord",other
"want",other
"Warning",other
"Warnings",other
"was",other
"way",other
"well",other
"were",other
"wheerd",other
"when",other
"When",other
"where",other
"which",other
"while",other
"width",other
"will",other
"win32",other
"Win32",other
"window",other
"Window",other
"windows",other
"wish",other
"with",other
"within",other
"wooorrdd",other
"woorxs",other
"word",other
"Word",other
"WordLists",other
"words",other
"Words",other
"wordsEn",other
"wordsEnGb",other
"work",other
"working",other
"works",other
"workspace",other
"Workspace",other
"workspaceFolder",other
"workspaceRoot",other
"workspaces",other
"www",other
"yaml",other
"YAML",other
"yield",other
"you",other
"You",other
"your",other
"zaallano",other
"zzooommmmmmmm",other
